,M_value,Rule_num
310,6285.343136971764,990
311,6285.343136971764,991
312,6298.517241716159,992
313,6299.136621505548,993
314,6303.502031108845,994
315,6303.502031108845,995
316,6303.502031108845,996
317,6303.502031108845,1000
318,6303.502031108845,1003
319,6303.502031108845,1007
320,6303.502031108845,1009
321,6303.502031108845,1012
322,6303.502031108845,1014
323,6303.502031108845,1017
324,6303.502031108845,1018
325,6303.502031108845,1019
326,6306.814451575694,1020
327,6306.814451575694,1025
328,6306.814451575694,1030
329,6306.814451575694,1034
330,6306.814451575694,1035
331,6412.634606872936,1036
332,6413.652544576245,1037
333,6413.652544576245,1039
334,6413.652544576245,1041
335,6413.652544576245,1045
336,6413.652544576245,1049
337,6413.652544576245,1054
338,6413.652544576245,1057
339,6413.652544576245,1065
340,6413.652544576245,1077
341,6413.652544576245,1089
342,6413.652544576245,1105
343,6413.652544576245,1130
344,6413.652544576245,1156
345,6413.652544576245,1179
346,6413.652544576245,1208
347,6413.652544576245,1230
348,6413.652544576245,1246
349,6413.652544576245,1263
350,6413.652544576245,1277
351,6413.652544576245,1297
352,6413.652544576245,1316
353,6413.652544576245,1345
354,6413.652544576245,1385
355,6413.652544576245,1433
356,6413.652544576245,1476
357,6413.652544576245,1520
358,6413.652544576245,1534
